idProduct,candidate_collector_number,card_name,rarity,image,artist,tcgdex_id,pokemon_tcg_api_id,name_match,rarity_match,image_evidence,structured_id_evidence,cardmarket_version_evidence,evidence_score,confidence,notes
719641,186,Ninetales ex,,https://assets.tcgdex.net/en/sv/sv03.5/186,PLANETA Tsuji,sv03.5-186,sv3pt5-186,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421117,4,WEAK,Diagnostic ranking only; manual approval required.
719642,040,Wigglytuff ex,,https://assets.tcgdex.net/en/sv/sv03.5/040,Saki Hayashiro,sv03.5-040,sv3pt5-40,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421119,4,WEAK,Diagnostic ranking only; manual approval required.
719642,187,Wigglytuff ex,,https://assets.tcgdex.net/en/sv/sv03.5/187,Saki Hayashiro,sv03.5-187,sv3pt5-187,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421119,4,WEAK,Diagnostic ranking only; manual approval required.
719643,065,Alakazam ex,,https://assets.tcgdex.net/en/sv/sv03.5/065,Mitsuhiro Arita,sv03.5-065,sv3pt5-65,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421144,4,WEAK,Diagnostic ranking only; manual approval required.
719643,188,Alakazam ex,,https://assets.tcgdex.net/en/sv/sv03.5/188,PLANETA Tsuji,sv03.5-188,sv3pt5-188,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421144,4,WEAK,Diagnostic ranking only; manual approval required.
719643,201,Alakazam ex,,https://assets.tcgdex.net/en/sv/sv03.5/201,Shinya Komatsu,sv03.5-201,sv3pt5-201,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421144,4,WEAK,Diagnostic ranking only; manual approval required.
719644,076,Golem ex,,https://assets.tcgdex.net/en/sv/sv03.5/076,Uta,sv03.5-076,sv3pt5-76,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421155,4,WEAK,Diagnostic ranking only; manual approval required.
719644,189,Golem ex,,https://assets.tcgdex.net/en/sv/sv03.5/189,PLANETA Igarashi,sv03.5-189,sv3pt5-189,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421155,4,WEAK,Diagnostic ranking only; manual approval required.
719645,115,Kangaskhan ex,,https://assets.tcgdex.net/en/sv/sv03.5/115,N-DESIGN Inc.,sv03.5-115,sv3pt5-115,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421194,4,WEAK,Diagnostic ranking only; manual approval required.
719645,190,Kangaskhan ex,,https://assets.tcgdex.net/en/sv/sv03.5/190,N-DESIGN Inc.,sv03.5-190,sv3pt5-190,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421194,4,WEAK,Diagnostic ranking only; manual approval required.
719646,124,Jynx ex,,https://assets.tcgdex.net/en/sv/sv03.5/124,Ayaka Yoshida,sv03.5-124,sv3pt5-124,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421203,4,WEAK,Diagnostic ranking only; manual approval required.
719646,191,Jynx ex,,https://assets.tcgdex.net/en/sv/sv03.5/191,Ayaka Yoshida,sv03.5-191,sv3pt5-191,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421203,4,WEAK,Diagnostic ranking only; manual approval required.
719647,145,Zapdos ex,,https://assets.tcgdex.net/en/sv/sv03.5/145,takuyoa,sv03.5-145,sv3pt5-145,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421224,4,WEAK,Diagnostic ranking only; manual approval required.
719647,192,Zapdos ex,,https://assets.tcgdex.net/en/sv/sv03.5/192,takuyoa,sv03.5-192,sv3pt5-192,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421224,4,WEAK,Diagnostic ranking only; manual approval required.
719647,202,Zapdos ex,,https://assets.tcgdex.net/en/sv/sv03.5/202,Shiburingaru,sv03.5-202,sv3pt5-202,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421224,4,WEAK,Diagnostic ranking only; manual approval required.
