set,collector_number,language,treatment,object_type,name,scryfall_id,layout,type_line,frame_effects,promo_types,source_finish_options,finish,physical_pairing,finish_detail
HOB,14,English,Default,card,Fíli the Pathfinder,b02142f3-5e55-40dc-a02c-9113fb7d763c,normal,Legendary Creature — Dwarf Scout,legendary,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,14,English,Default,card,Fíli the Pathfinder,b02142f3-5e55-40dc-a02c-9113fb7d763c,normal,Legendary Creature — Dwarf Scout,legendary,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,15,English,Default,card,Gleaming Splendor,3b087bd4-bbb7-4963-bdb6-0a700ff19a04,normal,Enchantment,enchantment,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,15,English,Default,card,Gleaming Splendor,3b087bd4-bbb7-4963-bdb6-0a700ff19a04,normal,Enchantment,enchantment,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,16,English,Default,card,Iron Hills Blacksmith,370e09c2-36c5-4662-8350-1db798afad3e,normal,Creature — Dwarf Artificer,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,16,English,Default,card,Iron Hills Blacksmith,370e09c2-36c5-4662-8350-1db798afad3e,normal,Creature — Dwarf Artificer,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,17,English,Default,card,Kíli the Resourceful,1805532f-6d99-47d0-9529-5f5831a7fdc8,normal,Legendary Creature — Dwarf Scout,legendary,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,17,English,Default,card,Kíli the Resourceful,1805532f-6d99-47d0-9529-5f5831a7fdc8,normal,Legendary Creature — Dwarf Scout,legendary,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,18,English,Default,card,Lake-town Lookout,178c4cf6-6b11-40e4-9673-c560d6818a6b,normal,Creature — Human Scout,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,18,English,Default,card,Lake-town Lookout,178c4cf6-6b11-40e4-9673-c560d6818a6b,normal,Creature — Human Scout,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,19,English,Default,card,Lake-town Toymaker,67304269-c595-4cf0-8dbf-fcb2e9e01fe2,normal,Creature — Human Artificer,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,19,English,Default,card,Lake-town Toymaker,67304269-c595-4cf0-8dbf-fcb2e9e01fe2,normal,Creature — Human Artificer,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,20,English,Default,card,Magnificent End,430c8916-1167-400b-9cad-d301f59d5e5d,normal,Instant,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,20,English,Default,card,Magnificent End,430c8916-1167-400b-9cad-d301f59d5e5d,normal,Instant,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
