idProduct,idMetacard,product_name,candidate_collector_number_1,candidate_card_1,candidate_finish_scope_1,candidate_collector_number_2,candidate_card_2,candidate_finish_scope_2,candidate_collector_number_3,candidate_card_3,candidate_finish_scope_3,reason,missing_evidence,recommended_review,approved
719496,421133,Psyduck [Overthinking | Water Gun],054,Psyduck,"normal,reverse_holo",175,Psyduck,holo,,,,name_signature=psyduck; attack_signature=overthinking | water gun; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719503,421140,Poliwhirl [Wave Splash | Frog Hop],061,Poliwhirl,"normal,reverse_holo",176,Poliwhirl,holo,,,,name_signature=poliwhirl; attack_signature=wave splash | frog hop; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719507,421144,Alakazam ex [Mind Jack | Dimensional Hand],065,Alakazam ex,holo,188,Alakazam ex,holo,201,Alakazam ex,holo,name_signature=alakazam ex; attack_signature=mind jack | dimensional hand; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719509,421146,Machoke [Mountain Ramming],067,Machoke,"normal,reverse_holo",177,Machoke,holo,,,,name_signature=machoke; attack_signature=mountain ramming; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719518,421155,Golem ex [Dynamic Roll | Rock Blaster],076,Golem ex,holo,189,Golem ex,holo,,,,name_signature=golem ex; attack_signature=dynamic roll | rock blaster; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719567,421193,Tangela [Tactful Tangling],114,Tangela,"normal,reverse_holo",178,Tangela,holo,,,,name_signature=tangela; attack_signature=tactful tangling; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719568,421194,Kangaskhan ex [Triple Draw | Incessant Punching],115,Kangaskhan ex,holo,190,Kangaskhan ex,holo,,,,name_signature=kangaskhan ex; attack_signature=triple draw | incessant punching; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719575,421201,Mr. Mime [Mimic Barrier | Psypower],122,Mr. Mime,"holo,reverse_holo",179,Mr. Mime,holo,,,,name_signature=mr mime; attack_signature=mimic barrier | psypower; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719577,421203,Jynx ex [Heart-Stopping Kiss | Icy Wind],124,Jynx ex,holo,191,Jynx ex,holo,,,,name_signature=jynx ex; attack_signature=heart stopping kiss | icy wind; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719591,421217,Omanyte [Tentacular Return],138,Omanyte,"normal,reverse_holo",180,Omanyte,holo,,,,name_signature=omanyte; attack_signature=tentacular return; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
