idProduct,idMetacard,product_name,matched_collector_number,matched_canonical_id,matched_card_name,numbered_identity_status,finish_scope,compatible_finishes,finish_mapping_status,mapping_status,mapping_confidence,mapping_method,mapping_evidence,notes,authoritative_mapping_would_apply
719459,421096,Pidgeotto [Flap],017,23372,Pidgeotto,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=pidgeotto; attack_signature=flap; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719460,421097,Pidgeot [Flap | Fly],018,23373,Pidgeot,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=pidgeot; attack_signature=flap | fly; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719461,421098,Rattata [Gnaw the Wound],019,23374,Rattata,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=rattata; attack_signature=gnaw the wound; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719462,421099,Raticate [Second Bite],020,23375,Raticate,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=raticate; attack_signature=second bite; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719463,421100,Spearow [Evolutionary Advantage | Speed Dive],021,23376,Spearow,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,MEDIUM,revalidated_unique_number_candidate,name_signature=spearow; attack_signature=evolutionary advantage | speed dive; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719464,421101,Fearow [Beak Catch | Speed Dive],022,23377,Fearow,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=fearow; attack_signature=beak catch | speed dive; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719465,421102,Ekans [Acid Spray],023,23378,Ekans,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=ekans; attack_signature=acid spray; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719466,421103,Arbok ex [Bind Down | Menacing Fangs],,,,AMBIGUOUS,unknown,[],UNKNOWN,AMBIGUOUS,LOW,retained_ambiguous_candidate_set,name_signature=arbok ex; attack_signature=bind down | menacing fangs; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,False
719467,421104,Pikachu [Charge | Pika Punch],,,,AMBIGUOUS,unknown,[],UNKNOWN,AMBIGUOUS,LOW,retained_ambiguous_candidate_set,name_signature=pikachu; attack_signature=charge | pika punch; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,False
719468,421105,Raichu [Electrical Grounding | Thunder],026,23381,Raichu,EXACT,multiple,"[""holo"",""reverse_holo""]",SUPPORTED,EXACT,MEDIUM,revalidated_unique_number_candidate,name_signature=raichu; attack_signature=electrical grounding | thunder; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719469,421106,Sandshrew [Sand Screen | Scratch],027,23382,Sandshrew,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,MEDIUM,revalidated_unique_number_candidate,name_signature=sandshrew; attack_signature=sand screen | scratch; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719470,421107,Sandslash [Rumble | Spike Rend],028,23383,Sandslash,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=sandslash; attack_signature=rumble | spike rend; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719471,421108,Nidoran [F] [Poison Horn],029,23384,Nidoran♀,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=nidoran f; attack_signature=poison horn; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719472,421109,Nidorina [Fetch Family | Sharp Fang],030,23385,Nidorina,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=nidorina; attack_signature=fetch family | sharp fang; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719473,421110,Nidoqueen [Queen Press | Lunge Out],031,23386,Nidoqueen,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=nidoqueen; attack_signature=queen press | lunge out; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719474,421111,Nidoran [M] [Horn Attack],032,23387,Nidoran♂,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=nidoran m; attack_signature=horn attack; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719475,421112,Nidorino [Sharp Fang | Superpowered Horns],033,23388,Nidorino,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=nidorino; attack_signature=sharp fang | superpowered horns; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719476,421113,Nidoking [Enthusiastic King | Venom Impact],,,,AMBIGUOUS,unknown,[],UNKNOWN,AMBIGUOUS,LOW,retained_ambiguous_candidate_set,name_signature=nidoking; attack_signature=enthusiastic king | venom impact; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,False
719477,421114,Clefairy [Moon-Viewing Invitation | Smack],035,23390,Clefairy,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=clefairy; attack_signature=moon viewing invitation | smack; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719478,421115,Clefable [Follow Me | More Moon],036,23391,Clefable,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=clefable; attack_signature=follow me | more moon; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719479,421116,Vulpix [Super Singe],037,23392,Vulpix,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=vulpix; attack_signature=super singe; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719480,421117,Ninetales ex [Heat Wave | Mirrored Flames],,,,AMBIGUOUS,unknown,[],UNKNOWN,AMBIGUOUS,LOW,retained_ambiguous_candidate_set,name_signature=ninetales ex; attack_signature=heat wave | mirrored flames; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,False
719481,421118,Jigglypuff [Lead | Stompy Stomp],039,23394,Jigglypuff,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=jigglypuff; attack_signature=lead | stompy stomp; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719482,421119,Wigglytuff ex [Expanding Body | Friend Tackle],,,,AMBIGUOUS,unknown,[],UNKNOWN,AMBIGUOUS,LOW,retained_ambiguous_candidate_set,name_signature=wigglytuff ex; attack_signature=expanding body | friend tackle; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,False
719483,421120,Zubat [Revealing Echo | Bite],041,23396,Zubat,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,MEDIUM,revalidated_unique_number_candidate,name_signature=zubat; attack_signature=revealing echo | bite; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719484,421121,Golbat [Skill Dive],042,23397,Golbat,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=golbat; attack_signature=skill dive; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719485,421122,Oddish [Razor Leaf],043,23398,Oddish,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=oddish; attack_signature=razor leaf; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719486,421123,Gloom [Semi-Blooming Energy | Drool],044,23399,Gloom,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,MEDIUM,revalidated_unique_number_candidate,name_signature=gloom; attack_signature=semi blooming energy | drool; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
