canonical_id,game,set,collector_number,card_name,rarity,category,artist,image_status,metadata_status,physical_printing_count
23492,pokemon,mew,137,Porygon,Common,Pokemon,5ban Graphics,resolved,complete,2
23493,pokemon,mew,138,Omanyte,Uncommon,Pokemon,Akira Komayama,resolved,complete,2
23494,pokemon,mew,139,Omastar,Rare,Pokemon,Akira Komayama,resolved,complete,2
23495,pokemon,mew,140,Kabuto,Uncommon,Pokemon,Souichirou Gunjima,resolved,complete,2
23496,pokemon,mew,141,Kabutops,Rare,Pokemon,Souichirou Gunjima,resolved,complete,2
23497,pokemon,mew,142,Aerodactyl,Rare,Pokemon,Shinji Kanda,resolved,complete,2
23498,pokemon,mew,143,Snorlax,Uncommon,Pokemon,HYOGONOSUKE,resolved,complete,2
23499,pokemon,mew,144,Articuno,Rare,Pokemon,chibi,resolved,complete,2
23500,pokemon,mew,145,Zapdos ex,Double rare,Pokemon,takuyoa,resolved,complete,1
23501,pokemon,mew,146,Moltres,Rare,Pokemon,KEIICHIRO ITO,resolved,complete,2
23502,pokemon,mew,147,Dratini,Common,Pokemon,Sanosuke Sakuma,resolved,complete,2
23503,pokemon,mew,148,Dragonair,Uncommon,Pokemon,Sanosuke Sakuma,resolved,complete,2
23504,pokemon,mew,149,Dragonite,Rare,Pokemon,Sanosuke Sakuma,resolved,complete,2
23505,pokemon,mew,150,Mewtwo,Rare,Pokemon,AKIRA EGAWA,resolved,complete,2
23506,pokemon,mew,151,Mew ex,Double rare,Pokemon,aky CG Works,resolved,complete,1
23507,pokemon,mew,152,Antique Dome Fossil,Common,Trainer,AYUMI ODASHIMA,resolved,complete,2
23508,pokemon,mew,153,Antique Helix Fossil,Common,Trainer,AYUMI ODASHIMA,resolved,complete,2
23509,pokemon,mew,154,Antique Old Amber,Common,Trainer,AYUMI ODASHIMA,resolved,complete,2
23510,pokemon,mew,155,Big Air Balloon,Uncommon,Trainer,Toyste Beach,resolved,complete,2
23511,pokemon,mew,156,Bill’s Transfer,Uncommon,Trainer,GIDORA,resolved,complete,2
23512,pokemon,mew,157,Cycling Road,Uncommon,Trainer,Oswaldo KATO,resolved,complete,2
23513,pokemon,mew,158,Daisy’s Help,Uncommon,Trainer,Tomomi Kaneko,resolved,complete,2
23514,pokemon,mew,159,Energy Sticker,Uncommon,Trainer,Ayaka Yoshida,resolved,complete,2
23515,pokemon,mew,160,Erika’s Invitation,Uncommon,Trainer,saino misaki,resolved,complete,2
23516,pokemon,mew,161,Giovanni’s Charisma,Uncommon,Trainer,hncl,resolved,complete,2
23517,pokemon,mew,162,Grabber,Uncommon,Trainer,inose yukie,resolved,complete,2
23518,pokemon,mew,163,Leftovers,Uncommon,Trainer,Studio Bora Inc.,resolved,complete,2
23519,pokemon,mew,164,Protective Goggles,Uncommon,Trainer,Toyste Beach,resolved,complete,2
23520,pokemon,mew,165,Rigid Band,Uncommon,Trainer,Toyste Beach,resolved,complete,2
23521,pokemon,mew,166,Bulbasaur,Illustration rare,Pokemon,Yoriyuki Ikegami,resolved,complete,1
23522,pokemon,mew,167,Ivysaur,Illustration rare,Pokemon,Yoriyuki Ikegami,resolved,complete,1
23523,pokemon,mew,168,Charmander,Illustration rare,Pokemon,miki kudo,resolved,complete,1
23524,pokemon,mew,169,Charmeleon,Illustration rare,Pokemon,miki kudo,resolved,complete,1
23525,pokemon,mew,170,Squirtle,Illustration rare,Pokemon,Mitsuhiro Arita,resolved,complete,1
23526,pokemon,mew,171,Wartortle,Illustration rare,Pokemon,Mitsuhiro Arita,resolved,complete,1
23527,pokemon,mew,172,Caterpie,Illustration rare,Pokemon,Teeziro,resolved,complete,1
23528,pokemon,mew,173,Pikachu,Illustration rare,Pokemon,Hiroyuki Yamamoto,resolved,complete,1
23529,pokemon,mew,174,Nidoking,Illustration rare,Pokemon,Misaki Hashimoto,resolved,complete,1
