canonical_id,physical_card_id,collector_number,card_name,finish,treatment,variant_status,evidence,source
23372,25197,017,Pidgeotto,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733612; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23373,25198,018,Pidgeot,normal,,CONFIRMED,Cardmarket candidate ids=733613; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23373,25199,018,Pidgeot,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733613; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23374,25200,019,Rattata,normal,,CONFIRMED,Cardmarket candidate ids=733614; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23374,25201,019,Rattata,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733614; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23375,25202,020,Raticate,normal,,CONFIRMED,Cardmarket candidate ids=733615; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23375,25203,020,Raticate,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733615; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23376,25204,021,Spearow,normal,,CONFIRMED,Cardmarket candidate ids=733616; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23376,25205,021,Spearow,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733616; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23377,25206,022,Fearow,normal,,CONFIRMED,Cardmarket candidate ids=733617; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23377,25207,022,Fearow,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733617; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23378,25208,023,Ekans,normal,,CONFIRMED,Cardmarket candidate ids=733618; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23378,25209,023,Ekans,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733618; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23379,25210,024,Arbok ex,holo,,CONFIRMED,Cardmarket candidate ids=733619; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23380,25211,025,Pikachu,normal,,CONFIRMED,"Cardmarket candidate ids=733620,748474,845404; local_target_ids=none; finish is separate from rarity.",tcgdex.variants + tcgdex.variants_detailed
23380,25212,025,Pikachu,reverse_holo,,CONFIRMED,"Cardmarket candidate ids=733620,794911; local_target_ids=none; finish is separate from rarity.",tcgdex.variants + tcgdex.variants_detailed
23381,25213,026,Raichu,holo,,CONFIRMED,"Cardmarket candidate ids=733621,864950; local_target_ids=none; finish is separate from rarity.",tcgdex.variants + tcgdex.variants_detailed
23381,25214,026,Raichu,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733621; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23382,25215,027,Sandshrew,normal,,CONFIRMED,Cardmarket candidate ids=733622; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23382,25216,027,Sandshrew,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733622; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23383,25217,028,Sandslash,normal,,CONFIRMED,Cardmarket candidate ids=733623; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23383,25218,028,Sandslash,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733623; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23384,25219,029,Nidoran♀,normal,,CONFIRMED,Cardmarket candidate ids=733624; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23384,25220,029,Nidoran♀,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733624; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23385,25221,030,Nidorina,normal,,CONFIRMED,Cardmarket candidate ids=733625; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23385,25222,030,Nidorina,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733625; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23386,25223,031,Nidoqueen,normal,,CONFIRMED,Cardmarket candidate ids=733626; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23386,25224,031,Nidoqueen,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733626; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23387,25225,032,Nidoran♂,normal,,CONFIRMED,Cardmarket candidate ids=733627; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23387,25226,032,Nidoran♂,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733627; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23388,25227,033,Nidorino,normal,,CONFIRMED,Cardmarket candidate ids=733628; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23388,25228,033,Nidorino,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733628; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23389,25229,034,Nidoking,holo,,CONFIRMED,Cardmarket candidate ids=733629; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23389,25230,034,Nidoking,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733629; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23390,25231,035,Clefairy,normal,,CONFIRMED,Cardmarket candidate ids=733630; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23390,25232,035,Clefairy,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733630; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23391,25233,036,Clefable,normal,,CONFIRMED,Cardmarket candidate ids=733631; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23391,25234,036,Clefable,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733631; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23392,25235,037,Vulpix,normal,,CONFIRMED,Cardmarket candidate ids=733632; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23392,25236,037,Vulpix,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733632; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23393,25237,038,Ninetales ex,holo,,CONFIRMED,Cardmarket candidate ids=733633; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23394,25238,039,Jigglypuff,normal,,CONFIRMED,Cardmarket candidate ids=733634; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23394,25239,039,Jigglypuff,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733634; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23395,25240,040,Wigglytuff ex,holo,,CONFIRMED,Cardmarket candidate ids=733635; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23396,25241,041,Zubat,normal,,CONFIRMED,Cardmarket candidate ids=733636; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23396,25242,041,Zubat,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733636; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23397,25243,042,Golbat,normal,,CONFIRMED,Cardmarket candidate ids=733637; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23397,25244,042,Golbat,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733637; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23398,25245,043,Oddish,normal,,CONFIRMED,Cardmarket candidate ids=733638; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23398,25246,043,Oddish,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733638; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23399,25247,044,Gloom,normal,,CONFIRMED,Cardmarket candidate ids=733639; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23399,25248,044,Gloom,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733639; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23400,25249,045,Vileplume,holo,,CONFIRMED,Cardmarket candidate ids=733640; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23400,25250,045,Vileplume,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733640; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23401,25251,046,Paras,normal,,CONFIRMED,Cardmarket candidate ids=733641; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23401,25252,046,Paras,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733641; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23402,25253,047,Parasect,normal,,CONFIRMED,Cardmarket candidate ids=733642; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
