collector_number,card_name,api_card_id,api_identity_status,normal_exists,holo_exists,reverse_exists,normal_usable,holo_usable,reverse_usable,cardmarket_low,cardmarket_reverse_low,cardmarket_trend,cardmarket_reverse_trend,cardmarket_avg1,cardmarket_reverse_avg1,cardmarket_avg7,cardmarket_reverse_avg7,cardmarket_avg30,cardmarket_reverse_avg30,cardmarket_reverse_fields_present,cardmarket_reverse_low_available,tcgplayer_normal_low,tcgplayer_normal_market,tcgplayer_holo_low,tcgplayer_holo_market,tcgplayer_reverse_low,tcgplayer_reverse_market,tcgplayer_updated_at,cardmarket_updated_at,cardmarket_currency,tcgplayer_currency,identity_note
026,Raichu,sv3pt5-26,EXACT,False,True,True,False,True,True,0.02,0.02,0.24,1.4,0.12,0.78,0.24,1.42,0.2,1.54,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,,,0.08,0.28,0.48,1.39,2026/09/01,2026/02/22,EUR,USD,set + collector number + name match
027,Sandshrew,sv3pt5-27,EXACT,True,False,True,True,False,True,0.02,0.02,0.05,0.19,0.05,0.17,0.04,0.17,0.04,0.16,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.15,,,0.1,0.27,2026/09/01,2026/02/22,EUR,USD,set + collector number + name match
028,Sandslash,sv3pt5-28,EXACT,True,False,True,True,False,True,0.02,0.02,0.05,0.21,0.06,0.16,0.05,0.18,0.06,0.17,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.2,,,0.05,0.28,2026/09/01,2026/02/22,EUR,USD,set + collector number + name match
029,Nidoran♀,sv3pt5-29,MISMATCH,True,False,True,True,False,True,0.02,0.18,0.12,3.7,0.08,4.2,0.14,3.35,0.18,4.09,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.05,0.29,,,1.0,1.67,2026/09/01,2026/06/30,EUR,USD,name 'Nidoran ♀' != 'Nidoran♀'
030,Nidorina,sv3pt5-30,EXACT,True,False,True,True,False,True,0.02,0.02,0.07,0.25,0.06,0.34,0.07,0.27,0.07,0.23,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.2,,,0.1,0.31,2026/09/01,2026/06/20,EUR,USD,set + collector number + name match
031,Nidoqueen,sv3pt5-31,EXACT,True,False,True,True,False,True,0.02,0.02,0.06,0.21,0.05,0.2,0.04,0.2,0.05,0.2,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.17,,,0.05,0.31,2026/09/01,2026/02/22,EUR,USD,set + collector number + name match
032,Nidoran♂,sv3pt5-32,MISMATCH,True,False,True,True,False,True,0.02,1.5,0.16,2.91,0.32,3.45,0.15,3.0,0.14,2.92,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.06,0.23,,,1.25,3.0,2026/09/01,2026/06/20,EUR,USD,name 'Nidoran ♂' != 'Nidoran♂'
033,Nidorino,sv3pt5-33,EXACT,True,False,True,True,False,True,0.02,0.02,0.08,0.23,0.06,0.35,0.07,0.21,0.07,0.23,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.21,,,0.1,0.27,2026/09/01,2026/06/20,EUR,USD,set + collector number + name match
034,Nidoking,sv3pt5-34,EXACT,False,True,True,False,True,True,0.02,0.19,0.25,1.81,0.21,2.21,0.28,2.2,0.22,2.13,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,,,0.09,0.3,0.61,1.71,2026/09/01,2026/06/20,EUR,USD,set + collector number + name match
035,Clefairy,sv3pt5-35,EXACT,True,False,True,True,False,True,0.02,0.02,0.05,0.23,0.02,0.21,0.06,0.24,0.05,0.23,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.22,,,0.09,0.32,2026/09/01,2026/06/11,EUR,USD,set + collector number + name match
036,Clefable,sv3pt5-36,EXACT,True,False,True,True,False,True,0.02,0.02,0.07,0.19,0.03,0.19,0.07,0.24,0.07,0.23,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.02,0.14,,,0.05,0.32,2026/09/01,2026/06/11,EUR,USD,set + collector number + name match
037,Vulpix,sv3pt5-37,EXACT,True,False,True,True,False,True,0.02,0.02,0.04,0.15,0.04,0.09,0.04,0.17,0.05,0.18,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.16,,,0.01,0.34,2026/09/01,2026/02/04,EUR,USD,set + collector number + name match
