collector_number,card_name,tcgdex_card_id,tcgdex_identity_status,normal_exists,holo_exists,reverse_exists,normal_usable,holo_usable,reverse_usable,normal_product_ids,holo_product_ids,reverse_product_ids,cardmarket_variant_product_ids,updated_at,cardmarket_currency,tcgplayer_currency,identity_note
101,Electrode,sv03.5-101,EXACT,False,True,True,False,True,True,[],[516670],[516670],"{""holo"":[733696],""normal"":[],""reverse_holo"":[733696]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
102,Exeggcute,sv03.5-102,EXACT,True,False,True,True,False,True,[516671],[],[516671],"{""holo"":[],""normal"":[733697],""reverse_holo"":[733697]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
103,Exeggutor,sv03.5-103,EXACT,True,False,True,True,False,True,[516672],[],[516672],"{""holo"":[],""normal"":[733698],""reverse_holo"":[733698]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
104,Cubone,sv03.5-104,EXACT,True,False,True,True,False,True,[516673],[],[516673],"{""holo"":[],""normal"":[733699],""reverse_holo"":[733699]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
105,Marowak,sv03.5-105,EXACT,False,True,True,False,True,True,[],[516674],[516674],"{""holo"":[733700],""normal"":[],""reverse_holo"":[733700]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
106,Hitmonlee,sv03.5-106,EXACT,True,False,True,True,False,True,[516675],[],[516675],"{""holo"":[],""normal"":[733701],""reverse_holo"":[733701]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
107,Hitmonchan,sv03.5-107,EXACT,True,False,True,True,False,True,[516676],[],[516676],"{""holo"":[],""normal"":[733702],""reverse_holo"":[733702]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
108,Lickitung,sv03.5-108,EXACT,True,False,True,True,False,True,[516677],[],[516677],"{""holo"":[],""normal"":[733703],""reverse_holo"":[733703]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
109,Koffing,sv03.5-109,EXACT,True,False,True,True,False,True,[516679],[],[516679],"{""holo"":[],""normal"":[733704],""reverse_holo"":[733704]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
110,Weezing,sv03.5-110,EXACT,False,True,True,False,True,True,[],[516680],[516680],"{""holo"":[733705],""normal"":[],""reverse_holo"":[733705]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
111,Rhyhorn,sv03.5-111,EXACT,True,False,True,True,False,True,[516570],[],[516570],"{""holo"":[],""normal"":[733706],""reverse_holo"":[733706]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
112,Rhydon,sv03.5-112,EXACT,True,False,True,True,False,True,[516573],[],[516573],"{""holo"":[],""normal"":[733707],""reverse_holo"":[733707]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
113,Chansey,sv03.5-113,EXACT,False,True,True,False,True,True,[],[516575],[516575],"{""holo"":[733708],""normal"":[],""reverse_holo"":[733708]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
114,Tangela,sv03.5-114,EXACT,True,False,True,True,False,True,[516579],[],[516579],"{""holo"":[],""normal"":[733709],""reverse_holo"":[733709]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
115,Kangaskhan ex,sv03.5-115,EXACT,False,True,False,False,True,False,[],[516581],[],"{""holo"":[733710],""normal"":[],""reverse_holo"":[]}",2026-06-09T12:54:48+01:00,EUR,USD,set + collector number + name match
116,Horsea,sv03.5-116,EXACT,True,False,True,True,False,True,[516583],[],[516583],"{""holo"":[],""normal"":[733711],""reverse_holo"":[733711]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
117,Seadra,sv03.5-117,EXACT,True,False,True,True,False,True,[516584],[],[516584],"{""holo"":[],""normal"":[733712],""reverse_holo"":[733712]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
118,Goldeen,sv03.5-118,EXACT,True,False,True,True,False,True,[516681],[],[516681],"{""holo"":[],""normal"":[733713],""reverse_holo"":[733713]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
119,Seaking,sv03.5-119,EXACT,True,False,True,True,False,True,[516682],[],[516682],"{""holo"":[],""normal"":[733714],""reverse_holo"":[733714]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
120,Staryu,sv03.5-120,EXACT,True,False,True,True,False,True,[516683],[],[516683],"{""holo"":[],""normal"":[733715],""reverse_holo"":[733715]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
121,Starmie,sv03.5-121,EXACT,False,True,True,False,True,True,[],[516684],[516684],"{""holo"":[733716],""normal"":[],""reverse_holo"":[733716]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
122,Mr. Mime,sv03.5-122,EXACT,False,True,True,False,True,True,[],[516685],[516685],"{""holo"":[733717],""normal"":[],""reverse_holo"":[733717]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
